"","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","W.13","W.14","W.15","W_m.1","W_m.2","W_m.3","W_m.4","W_m.5","W_m.6","W_m.7","W_m.8","W_m.9","W_m.10","W_m.11","W_m.12","W_m.13","W_m.14","W_m.15","dety"
"1",0.273810280765138,0.167704177450399,0.035368701104913,0.00228350734621648,0,0,0,0,0,0,0,0,0,0,0,0.523268841767918,0.320493337389999,0.0675918347926397,0.00436392761033012,0,0,0,0,0,0,0,0,0,0,0,7.11852386912206e-06
"2",0.167704177450399,0.424418310304316,0.299472510741204,0.0661687789867127,0.000569555850701283,0,0,0,0,0,0,0,0,0,0,0,0.567188091370875,0.489801852779985,0.114195220682794,0.0010041745575523,0,0,0,0,0,0,0,0,0,0,7.11852386912206e-06
"3",0.035368701104913,0.299472510741204,0.626339427643463,0.430493770347664,0.0454450056050524,0.000380584557702747,0,0,0,0,0,0,0,0,0,0,0,0.617952195987782,0.605654897311714,0.0727453666126911,0.000615880257686262,0,0,0,0,0,0,0,0,0,7.11852386912206e-06
"4",0.00228350734621648,0.0661687789867127,0.430493770347664,0.918780404965602,0.452924573668579,0.0456350467941897,0.000380584557702747,0,0,0,0,0,0,0,0,0,0,0,0.734100100828871,0.556805963827198,0.0616564905097535,0.000518436868858933,0,0,0,0,0,0,0,0,7.11852386912206e-06
"5",0,0.000569555850701283,0.0454450056050524,0.452924573668579,0.918788396418002,0.452924573668579,0.0456348575552861,0.000379703900467522,0,0,0,0,0,0,0,0,0,0,0,0.776828564314103,0.538792069236684,0.0583734827707781,0.000488787253597941,0,0,0,0,0,0,0,7.11852386912206e-06
"6",0,0,0.000380584557702747,0.0456350467941897,0.452924573668579,0.918780404965602,0.452930614567604,0.0456348575552861,0.000380584557702746,0,0,0,0,0,0,0,0,0,0,0,0.790368021217194,0.533229418050159,0.0574055397504948,0.000481528284907875,0,0,0,0,0,0,7.11852386912206e-06
"7",0,0,0,0.000380584557702747,0.0456348575552861,0.452930614567604,0.918780404965602,0.452924573668579,0.0456350467941897,0.000380584557702748,0,0,0,0,0,0,0,0,0,0,0,0.794379670198019,0.531591800171542,0.0571241730490685,0.000479096547886073,0,0,0,0,0,7.11852386912206e-06
"8",0,0,0,0,0.000379703900467522,0.0456348575552861,0.452924573668579,0.918788396418002,0.452924573668579,0.0456348575552861,0.000379703900467522,0,0,0,0,0,0,0,0,0,0,0,0.795551959020501,0.531115767489582,0.0570423757296913,0.000477283596831338,0,0,0,0,7.11852386912206e-06
"9",0,0,0,0,0,0.000380584557702746,0.0456350467941897,0.452924573668579,0.918780404965602,0.452930614567604,0.0456348575552861,0.000380584557702746,0,0,0,0,0,0,0,0,0,0,0,0.79588506926159,0.530990161431826,0.0570199975651622,0.000478190347327218,0,0,0,7.11852386912206e-06
"10",0,0,0,0,0,0,0.000380584557702748,0.0456348575552861,0.452930614567604,0.918780404965602,0.452924573668579,0.0456350467941897,0.000380584557702748,0,0,0,0,0,0,0,0,0,0,0,0.795974742856717,0.530946860260397,0.0570132819310277,0.000478136474955031,0,0,7.11852386912206e-06
"11",0,0,0,0,0,0,0,0.000379703900467522,0.0456348575552861,0.452924573668579,0.918788396418002,0.452924573668579,0.0454450056050524,0.000569555850701285,0,0,0,0,0,0,0,0,0,0,0,0.7960102512378,0.530930705433168,0.0567720584937526,0.000715513210810567,0,7.11852386912206e-06
"12",0,0,0,0,0,0,0,0,0.000380584557702746,0.0456350467941897,0.452924573668579,0.918780404965602,0.430493770347664,0.0661687789867127,0.00228350734621647,0,0,0,0,0,0,0,0,0,0,0,0.796016487273527,0.502909785856578,0.0826476487670335,0.0028686684041405,7.11852386912206e-06
"13",0,0,0,0,0,0,0,0,0,0.000380584557702748,0.0454450056050524,0.430493770347664,0.626339427643463,0.299472510741204,0.0353687011049129,0,0,0,0,0,0,0,0,0,0,0,0,0.608438887393835,0.423818371217049,0.0557591245316528,7.11852386912206e-06
"14",0,0,0,0,0,0,0,0,0,0,0.000569555850701285,0.0661687789867127,0.299472510741204,0.424418310304316,0.167704177450399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487816720415946,0.294855304036251,7.11852386912206e-06
"15",0,0,0,0,0,0,0,0,0,0,0,0.00228350734621647,0.0353687011049129,0.167704177450399,0.273810280765138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428664578919087,7.11852386912206e-06
